"time","SC","SR","PPG","SR_transformed","SC_transformed","SC_z","SR_z"
8.213,1.6252,6.15289,2.945,6.15289,1.6252,-0.870223851772689,0.880226531898979
8.214,1.6257,6.1509,2.945,6.1509,1.6257,-0.862476297715078,0.871367181104051
8.215,1.626,6.147,2.937,6.147,1.626,-0.857827765280514,0.854004634320028
8.216,1.6278,6.143,2.937,6.143,1.6278,-0.829936570673127,0.836196894028726
8.21766,1.628,6.139,2.945,6.139,1.628,-0.82683754905008,0.818389153737425
8.218,1.6293,6.137,2.9304,6.137,1.6293,-0.806693908500301,0.809485283591771
8.219,1.6298,6.135,2.937,6.135,1.6298,-0.798946354442694,0.80058141344612
8.22,1.6308,6.131,2.9304,6.131,1.6308,-0.783451246327476,0.782773673154819
8.221,1.631,6.129,2.945,6.129,1.631,-0.780352224704433,0.773869803009164
8.222,1.6308,6.131,2.937,6.131,1.6308,-0.783451246327476,0.782773673154819
8.223,1.6323,6.125,2.937,6.125,1.6323,-0.76020858415465,0.756062062717859
8.224,1.6323,6.125,2.937,6.125,1.6323,-0.76020858415465,0.756062062717859
8.2256,1.6329,6.124,2.937,6.124,1.6329,-0.750911519285521,0.751610127645032
8.226,1.6334,6.1221,2.9304,6.1221,1.6334,-0.743163965227907,0.74315145100667
8.227,1.633,6.12,2.9304,6.12,1.633,-0.749362008473999,0.73380238735373
8.228,1.6344,6.118,2.9304,6.118,1.6344,-0.727668857112695,0.72489851720808
8.229,1.6344,6.118,2.937,6.118,1.6344,-0.727668857112695,0.72489851720808
8.23,1.6344,6.118,2.9304,6.118,1.6344,-0.727668857112695,0.72489851720808
8.231,1.6349,6.11639,2.937,6.11639,1.6349,-0.719921303055088,0.717730901740833
8.232,1.6349,6.11639,2.9304,6.11639,1.6349,-0.719921303055088,0.717730901740833
8.23366,1.6349,6.11639,2.9304,6.11639,1.6349,-0.719921303055088,0.717730901740833
8.234,1.6344,6.118,2.879,6.118,1.6344,-0.727668857112695,0.72489851720808
8.235,1.6344,6.118,2.9304,6.118,1.6344,-0.727668857112695,0.72489851720808
8.236,1.6354,6.114,2.9304,6.114,1.6354,-0.712173748997477,0.707090776916774
8.237,1.6349,6.11639,2.9304,6.11639,1.6349,-0.719921303055088,0.717730901740833
8.238,1.6349,6.11639,2.923,6.11639,1.6349,-0.719921303055088,0.717730901740833
8.239,1.6349,6.11639,2.9157,6.11639,1.6349,-0.719921303055088,0.717730901740833
8.24,1.6354,6.114,2.9304,6.114,1.6354,-0.712173748997477,0.707090776916774
8.2416,1.635,6.112,2.923,6.112,1.635,-0.718371792243566,0.698186906771124
8.242,1.6354,6.114,2.923,6.114,1.6354,-0.712173748997477,0.707090776916774
8.243,1.6354,6.114,2.9304,6.114,1.6354,-0.712173748997477,0.707090776916774
8.244,1.6354,6.114,2.923,6.114,1.6354,-0.712173748997477,0.707090776916774
8.245,1.6354,6.114,2.9304,6.114,1.6354,-0.712173748997477,0.707090776916774
8.246,1.6354,6.114,2.9157,6.114,1.6354,-0.712173748997477,0.707090776916774
8.247,1.635,6.112,2.923,6.112,1.635,-0.718371792243566,0.698186906771124
8.248,1.6364,6.11,2.9157,6.11,1.6364,-0.696678640882262,0.689283036625473
8.24966,1.6364,6.11,2.923,6.11,1.6364,-0.696678640882262,0.689283036625473
8.25,1.6364,6.11,2.923,6.11,1.6364,-0.696678640882262,0.689283036625473
8.251,1.6375,6.1068,2.923,6.1068,1.6375,-0.679634021955526,0.675036844392436
